Total issued ordinary shares,Number of shares available for sale,Number of employees,Number of shareholders,Price/Profit,Debt/Assets
15190000000.0,1510000000.0,58090.0,4.0,3.27,0.51
435440000000.0,130995969238.24884,110809.6875,61044.94871794872,8.75,0.2
4720000000.0,130995969238.24884,110809.6875,61044.94871794872,12.71,0.21
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,8.75,0.13
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,11.23,0.29
63050000000.0,130995969238.24884,110809.6875,61044.94871794872,12.8,0.01
135000000.0,130995969238.24884,110809.6875,61044.94871794872,10.57,0.47
129500000.0,130995969238.24884,110809.6875,61044.94871794872,23.96,0.51
157000000.0,50650000.0,110809.6875,38590.0,13.73,0.62
129500000.0,130995969238.24884,110809.6875,61044.94871794872,34.85,0.53
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,9.17,0.36
179530000.0,74950000.0,110809.6875,10.0,10.58,0.0
470190000.0,245670000.0,11610.0,61044.94871794872,14.92,0.42
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,10.67,0.83
703200000.0,126930000.0,110809.6875,693.0,3.39,0.03
22450000000.0,130995969238.24884,110809.6875,61044.94871794872,8.25,0.1
404780000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,1.63
430120000.0,164620000.0,12020.0,61044.94871794872,14.46,0.47
22980000000.0,10760000000.0,462400.0,45660.0,3.98,0.2
22460000000.0,130995969238.24884,110809.6875,61044.94871794872,5.18,0.09
23640000000.0,130995969238.24884,110809.6875,61044.94871794872,6.26,0.21
83480000000.0,24130000000.0,110809.6875,356090.0,5.27,0.04
35730000000.0,35590000000.0,110809.6875,31220.0,1.73,0.01
1990000000.0,890670000.0,66870.0,894.0,6.49,0.48
825450000.0,130995969238.24884,110809.6875,61044.94871794872,14.59,0.37
535941309876.8473,130995969238.24884,110809.6875,61044.94871794872,17.78,0.62
7210000000.0,130995969238.24884,110809.6875,61044.94871794872,22.3,0.32
535941309876.8473,130995969238.24884,110809.6875,61044.94871794872,2.54,0.33224938875305626
428260000.0,194950000.0,11260.0,61044.94871794872,12.41,0.5
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,4.72,0.18
3000000000.0,130995969238.24884,110809.6875,61044.94871794872,6.1,0.1
652500000.0,130995969238.24884,110809.6875,61044.94871794872,6.99,0.11
22490000000.0,10260000000.0,310280.0,61044.94871794872,6.75,0.1
1260940000000.0,236970000000.0,110809.6875,407910.0,1.65,0.28
22480000000.0,130995969238.24884,110809.6875,61044.94871794872,6.46,0.12
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,4.98,0.2
15190000000.0,1500000000.0,46580.0,4.0,7.45,0.45
12958080000000.0,130995969238.24884,110809.6875,61044.94871794872,7.54,0.16
63050000000.0,10260000000.0,110809.6875,301610.0,14.45,0.0
131950000.0,21970000.0,110809.6875,33190.0,8.19,0.66
63050000000.0,130995969238.24884,110809.6875,61044.94871794872,9.32,0.0
422440000000.0,81300000000.0,69550.0,306350.0,45.89,0.22
4720000000.0,130995969238.24884,110809.6875,61044.94871794872,8.09,0.2
9440000000.0,3020000000.0,110809.6875,94.0,3.13,0.4
1910000000.0,887960000.0,110809.6875,894.0,9.62,0.55
63050000000.0,10260000000.0,4340.0,301610.0,9.86,0.01
327680000.0,130995969238.24884,110809.6875,61044.94871794872,48.27,0.24
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,6.87,0.2
135000000.0,130995969238.24884,110809.6875,61044.94871794872,10.67,0.47
1770000000.0,130995969238.24884,110809.6875,61044.94871794872,11.17,0.63
682860000.0,85930000.0,110809.6875,693.0,5.49,0.0
652880000.0,386740000.0,110809.6875,39210.0,6.4,0.11
739000000.0,130995969238.24884,110809.6875,11.0,15.525191256830603,0.37
158250000.0,59460000.0,110809.6875,38590.0,8.05,0.51
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,4.79,0.21
1990000000.0,974320000.0,110809.6875,894.0,10.06,0.52
15190000000.0,2380000000.0,57420.0,4.0,8.65,0.53
12958080000000.0,130995969238.24884,110809.6875,61044.94871794872,5.26,0.14
84390000000.0,15280000000.0,58480.0,356090.0,8.06,0.18
3020000000.0,1090000000.0,7510.0,127.0,9.27,0.22
161600000000.0,20800000000.0,110809.6875,282520.0,1.15,0.27
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,14.09,0.13
134260000.0,130995969238.24884,110809.6875,61044.94871794872,21.68,0.5
22980000000.0,10760000000.0,459600.0,45660.0,18.86,0.18
10600000000.0,1130000000.0,261500.0,28230.0,7.56,0.33
2270000000.0,1300000000.0,77000.0,40170.0,5.63,0.04
660500000.0,185610000.0,110809.6875,46.0,12.95,0.12
23640000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.23
98670000.0,68390000.0,297750.0,35.0,10.49,0.55
1730000000.0,130995969238.24884,110809.6875,61044.94871794872,9.25,0.63
63050000000.0,130995969238.24884,110809.6875,61044.94871794872,14.28,0.01
12924470000000.0,4533940000000.0,96960.0,61044.94871794872,5.5,0.13
1300000000.0,527430000.0,110809.6875,11080.0,4.32,0.48
43430000000.0,35590000000.0,110809.6875,31220.0,15.525191256830603,0.0
63050000000.0,10260000000.0,110809.6875,301610.0,35.98,0.0
1730000000.0,130995969238.24884,110809.6875,61044.94871794872,9.1,0.61
63050000000.0,130995969238.24884,110809.6875,61044.94871794872,11.35,0.01
473580000.0,130995969238.24884,110809.6875,61044.94871794872,7.43,0.44
63050000000.0,130995969238.24884,110809.6875,61044.94871794872,11.41,0.0
535941309876.8473,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.64
7210000000.0,130995969238.24884,110809.6875,61044.94871794872,11.71,0.24
329860000.0,282880000.0,10090.0,61044.94871794872,71.77,0.07
9500000000.0,130995969238.24884,110809.6875,61044.94871794872,12.07,0.28
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,10.36,0.07
43430000000.0,35590000000.0,110809.6875,31220.0,6.58,0.0
73540000000.0,130995969238.24884,110809.6875,61044.94871794872,4.02,0.12
825450000.0,130995969238.24884,110809.6875,61044.94871794872,10.24,0.31
12949900000000.0,5058900000000.0,77210.0,61044.94871794872,2.6,0.16
404780000.0,130995969238.24884,110809.6875,61044.94871794872,1.33,1.45
735520000.0,130995969238.24884,110809.6875,61044.94871794872,10.54,0.7
22480000000.0,130995969238.24884,110809.6875,61044.94871794872,7.07,0.14
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,3.91,0.12
1300000000.0,532800000.0,110809.6875,11080.0,16.8,0.59
3010000000.0,730410000.0,15450.0,127.0,4.39,0.08
5990000000.0,866620000.0,27350.0,8189.999999999999,11.0,0.22
422440000000.0,130995969238.24884,110809.6875,61044.94871794872,15.61,0.2
73540000000.0,130995969238.24884,110809.6875,61044.94871794872,5.21,0.11
179530000.0,41560000.0,110809.6875,10.0,10.68,0.0
2230000000.0,1260000000.0,1600.0,15.0,7.31,0.29
1990000000.0,881420000.0,71280.0,894.0,8.44,0.53
499520000.0,135600000.0,67880.0,81.0,15.525191256830603,1.06
2270000000.0,1170000000.0,73000.0,40170.0,7.29,0.02
4720000000.0,180750000.0,110809.6875,8300.0,4.95,0.21
22460000000.0,130995969238.24884,110809.6875,61044.94871794872,6.25,0.09
158250000.0,49130000.0,110809.6875,38590.0,16.48,0.48
811720000.0,165420000.0,110809.6875,23560.0,9.11,0.29
499520000.0,207700000.0,110809.6875,81.0,6.39,1.34
2260000000.0,130995969238.24884,110809.6875,61044.94871794872,14.67,0.84
3000000000.0,130995969238.24884,110809.6875,61044.94871794872,55.8,0.11
435440000000.0,130995969238.24884,110809.6875,61044.94871794872,8.31,0.19
133970000.0,130995969238.24884,110809.6875,61044.94871794872,23.58,0.64
190660000.0,0.0,110809.6875,33190.0,9.1,0.42
709630000.0,350120000.0,110809.6875,39210.0,5.66,0.12
12922830000000.0,4736620000000.0,94970.0,61044.94871794872,23.13,0.25
5990000000.0,866620000.0,56700.0,8189.999999999999,6.33,0.3
129500000.0,33520000.000000004,110809.6875,25.0,12.75,0.48
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,4.65,0.21
652500000.0,130995969238.24884,110809.6875,61044.94871794872,27.9,0.13
11170000000.0,1420000000.0,110809.6875,5040.0,8.1,0.3
499520000.0,128400000.0,65890.0,81.0,15.525191256830603,1.41
134260000.0,130995969238.24884,110809.6875,61044.94871794872,19.32,0.51
5990000000.0,957120000.0,52800.0,8189.999999999999,9.94,0.25
837720000.0,177200000.0,110809.6875,23560.0,5.95,0.26
9110000.0,130995969238.24884,110809.6875,61044.94871794872,18.52,0.31
7210000000.0,130995969238.24884,110809.6875,61044.94871794872,14.43,0.31
179510000.0,130995969238.24884,110809.6875,61044.94871794872,9.73,0.36
9480000000.0,3020000000.0,65000.0,94.0,15.525191256830603,0.62
660500000.0,136710000.0,110809.6875,46.0,12.14,0.17
358560000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.24
424650000.0,146640000.0,9240.0,61044.94871794872,17.17,0.65
22460000000.0,130995969238.24884,110809.6875,61044.94871794872,6.8,0.1
652500000.0,130995969238.24884,110809.6875,61044.94871794872,18.25,0.1
161600000000.0,20800000000.0,110809.6875,282520.0,15.525191256830603,0.29
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.18
660500000.0,131480000.0,110809.6875,46.0,61.49,0.15
129500000.0,130995969238.24884,110809.6875,61044.94871794872,10.25,0.43
7360000000.0,1700000000.0,110809.6875,3190.0,13.41,0.51
22130000000.0,9540000000.0,467400.0,45660.0,3.67,0.17
134710000.0,130995969238.24884,110809.6875,61044.94871794872,17.23,0.49
17110000.0,6870000.0,110809.6875,29.0,9.31,0.25
652500000.0,130995969238.24884,110809.6875,61044.94871794872,14.09,0.13
703200000.0,126930000.0,110809.6875,693.0,15.525191256830603,0.54
2250000000.0,1290000000.0,1640.0,15.0,11.19,0.71
1770000000.0,130995969238.24884,110809.6875,61044.94871794872,11.0,0.62
2250000000.0,1340000000.0,1790.0,15.0,12.03,0.82
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,10.98,0.04
9500000000.0,130995969238.24884,110809.6875,61044.94871794872,25.55,0.29
22470000000.0,10250000000.0,293750.0,61044.94871794872,5.1,0.09
63050000000.0,130995969238.24884,110809.6875,61044.94871794872,11.52,0.01
825450000.0,130995969238.24884,110809.6875,61044.94871794872,11.89,0.38
738380000.0,226280000.0,110809.6875,11.0,14.63,0.31
10600000000.0,1130000000.0,249000.0,28230.0,5.96,0.38
837720000.0,130995969238.24884,110809.6875,61044.94871794872,5.33,0.21
43430000000.0,35590000000.0,110809.6875,31220.0,1.37,0.0
2260000000.0,130995969238.24884,110809.6875,61044.94871794872,14.3,0.82
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.76
129500000.0,29180000.0,110809.6875,25.0,5.63,0.48
94690000.0,59730000.0,271370.0,35.0,19.14,0.28
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,9.49,0.13
73540000000.0,130995969238.24884,110809.6875,61044.94871794872,4.7,0.08
3000000000.0,130995969238.24884,110809.6875,61044.94871794872,27.31,0.09
