country;region;population;area;coastline;infant_mortality;gdp;literacy;phones;arable;birthrate;deathrate
Belarus ;C.W. OF IND. STATES ;10293011;207600;0;13,37;6100;99,6;319,1;29,55;11,16;14,02
Belgium ;WESTERN EUROPE                     ;10379067;30528;0,22;4,68;29100;98;462,6;23,28;10,38;10,27
Belize ;LATIN AMER. & CARIB    ;287730;22966;1,68;25,69;4900;94,1;115,7;2,85;28,84;5,72
Benin ;SUB-SAHARAN AFRICA                 ;7862944;112620;0,11;85;1100;40,9;9,7;18,08;38,85;12,22
Bermuda ;NORTHERN AMERICA                   ;65773;53;194,34;8,53;36000;98;851,4;20;11,4;7,74
Bhutan ;ASIA (EX. NEAR EAST)         ;2279723;47000;0;100,44;1300;42,2;14,3;3,09;33,65;12,7
Bolivia ;LATIN AMER. & CARIB    ;8989046;1098580;0;53,11;2400;87,2;71,9;2,67;23,3;7,53
Bosnia & Herzegovina ;EASTERN EUROPE                     ;4498976;51129;0,04;21,05;6100;;215,4;13,6;8,77;8,27
Botswana ;SUB-SAHARAN AFRICA                 ;1639833;600370;0;54,58;9000;79,8;80,5;0,65;23,08;29,5
Brazil ;LATIN AMER. & CARIB    ;188078227;8511965;0,09;29,61;7600;86,4;225,3;6,96;16,56;6,17
British Virgin Is. ;LATIN AMER. & CARIB    ;23098;153;52,29;18,05;16000;97,8;506,5;20;14,89;4,42
Brunei ;ASIA (EX. NEAR EAST)         ;379444;5770;2,79;12,61;18600;93,9;237,2;0,57;18,79;3,45
Bulgaria ;EASTERN EUROPE                     ;7385367;110910;0,32;20,55;7600;98,6;336,3;40,02;9,65;14,27
Burkina Faso ;SUB-SAHARAN AFRICA                 ;13902972;274200;0;97,57;1100;26,6;7;14,43;45,62;15,6
Burma ;ASIA (EX. NEAR EAST)         ;47382633;678500;0,28;67,24;1800;85,3;10,1;15,19;17,91;9,83
Burundi ;SUB-SAHARAN AFRICA                 ;8090068;27830;0;69,29;600;51,6;3,4;35,05;42,22;13,46
Cambodia ;ASIA (EX. NEAR EAST)         ;13881427;181040;0,24;71,48;1900;69,4;2,6;20,96;26,9;9,06
Cameroon ;SUB-SAHARAN AFRICA                 ;17340702;475440;0,08;68,26;1800;79;5,7;12,81;33,89;13,47
Canada ;NORTHERN AMERICA                   ;33098932;9984670;2,02;4,75;29800;97;552,2;4,96;10,78;7,8
Cape Verde ;SUB-SAHARAN AFRICA                 ;420979;4033;23,93;47,77;1400;76,6;169,6;9,68;24,87;6,55
Cayman Islands ;LATIN AMER. & CARIB    ;45436;262;61,07;8,19;35000;98;836,3;3,85;12,74;4,89
Central African Rep. ;SUB-SAHARAN AFRICA                 ;4303356;622984;0;91;1100;51;2,3;3,1;33,91;18,65
Chad ;SUB-SAHARAN AFRICA                 ;9944201;1284000;0;93,82;1200;47,5;1,3;2,86;45,73;16,38
Chile ;LATIN AMER. & CARIB    ;16134219;756950;0,85;8,8;9900;96,2;213;2,65;15,23;5,81
China ;ASIA (EX. NEAR EAST)         ;1313973713;9596960;0,15;24,18;5000;90,9;266,7;15,4;13,25;6,97
Colombia ;LATIN AMER. & CARIB    ;43593035;1138910;0,28;20,97;6300;92,5;176,2;2,42;20,48;5,58
Comoros ;SUB-SAHARAN AFRICA                 ;690948;2170;15,67;74,93;700;56,5;24,5;35,87;36,93;8,2
Congo, Dem. Rep. ;SUB-SAHARAN AFRICA                 ;62660551;2345410;0;94,69;700;65,5;0,2;2,96;43,69;13,27
Congo, Repub. of the ;SUB-SAHARAN AFRICA                 ;3702314;342000;0,05;93,86;700;83,8;3,7;0,51;42,57;12,93
Cook Islands ;OCEANIA                            ;21388;240;50;;5000;95;289,9;17,39;21;
Costa Rica ;LATIN AMER. & CARIB    ;4075261;51100;2,52;9,95;9100;96;340,7;4,41;18,32;4,36
Cote d'Ivoire ;SUB-SAHARAN AFRICA                 ;17654843;322460;0,16;90,83;1400;50,9;14,6;9,75;35,11;14,84
Croatia ;EASTERN EUROPE                     ;4494749;56542;10,32;6,84;10600;98,5;420,4;26,09;9,61;11,48
Cuba ;LATIN AMER. & CARIB    ;11382820;110860;3,37;6,33;2900;97;74,7;33,05;11,89;7,22
Cyprus ;NEAR EAST                          ;784301;9250;7,01;7,18;19200;97,6;;7,79;12,56;7,68
Czech Republic ;EASTERN EUROPE                     ;10235455;78866;0;3,93;15700;99,9;314,3;39,8;9,02;10,59
Denmark ;WESTERN EUROPE                     ;5450661;43094;16,97;4,56;31100;100;614,6;54,02;11,13;10,36
Djibouti ;SUB-SAHARAN AFRICA                 ;486530;23000;1,37;104,13;1300;67,9;22,8;0,04;39,53;19,31
Dominica ;LATIN AMER. & CARIB    ;68910;754;19,63;14,15;5400;94;304,8;6,67;15,27;6,73
Dominican Republic ;LATIN AMER. & CARIB    ;9183984;48730;2,64;32,38;6000;84,7;97,4;22,65;23,22;5,73
East Timor ;ASIA (EX. NEAR EAST)         ;1062777;15007;4,7;47,41;500;58,6;;4,71;26,99;6,24
Ecuador ;LATIN AMER. & CARIB    ;13547510;283560;0,79;23,66;3300;92,5;125,6;5,85;22,29;4,23
Egypt ;NORTHERN AFRICA                    ;78887007;1001450;0,24;32,59;4000;57,7;131,8;2,87;22,94;5,23
El Salvador ;LATIN AMER. & CARIB    ;6822378;21040;1,46;25,1;4800;80,2;142,4;31,85;26,61;5,78
Equatorial Guinea ;SUB-SAHARAN AFRICA                 ;540109;28051;1,06;85,13;2700;85,7;18,5;4,63;35,59;15,06
Eritrea ;SUB-SAHARAN AFRICA                 ;4786994;121320;1,84;74,87;700;58,6;7,9;4,95;34,33;9,6
Estonia ;BALTICS                            ;1324333;45226;8,39;7,87;12300;99,8;333,8;16,04;10,04;13,25
Ethiopia ;SUB-SAHARAN AFRICA                 ;74777981;1127127;0;95,32;700;42,7;8,2;10,71;37,98;14,86
Faroe Islands ;WESTERN EUROPE                     ;47246;1399;79,84;6,24;22000;;503,8;2,14;14,05;8,7
Fiji ;OCEANIA                            ;905949;18270;6,18;12,62;5800;93,7;112,6;10,95;22,55;5,65
Finland ;WESTERN EUROPE                     ;5231372;338145;0,37;3,57;27400;100;405,3;7,19;10,45;9,86
France ;WESTERN EUROPE                     ;60876136;547030;0,63;4,26;27600;99;586,4;33,53;11,99;9,14
French Guiana ;LATIN AMER. & CARIB    ;199509;91000;0,42;12,07;8300;83;255,6;0,14;20,46;4,88
French Polynesia ;OCEANIA                            ;274578;4167;60,6;8,44;17500;98;194,5;0,82;16,68;4,69
Gabon ;SUB-SAHARAN AFRICA                 ;1424906;267667;0,33;53,64;5500;63,2;27,4;1,26;36,16;12,25
Gambia, The ;SUB-SAHARAN AFRICA                 ;1641564;11300;0,71;72,02;1700;40,1;26,8;25;39,37;12,25
Gaza Strip ;NEAR EAST                          ;1428757;360;11,11;22,93;600;;244,3;28,95;39,45;3,8
Georgia ;C.W. OF IND. STATES ;4661473;69700;0,44;18,59;2500;99;146,6;11,44;10,41;9,23
Germany ;WESTERN EUROPE                     ;82422299;357021;0,67;4,16;27600;99;667,9;33,85;8,25;10,62
Ghana ;SUB-SAHARAN AFRICA                 ;22409572;239460;0,23;51,43;2200;74,8;14,4;16,26;30,52;9,72
Gibraltar ;WESTERN EUROPE                     ;27928;7;171,43;5,13;17500;;877,7;0;10,74;9,31
Greece ;WESTERN EUROPE                     ;10688058;131940;10,37;5,53;20000;97,5;589,7;21,1;9,68;10,24
Greenland ;NORTHERN AMERICA                   ;56361;2166086;2,04;15,82;20000;;448,9;0;15,93;7,84
Grenada ;LATIN AMER. & CARIB    ;89703;344;35,17;14,62;5000;98;364,5;5,88;22,08;6,88
Guadeloupe ;LATIN AMER. & CARIB    ;452776;1780;17,19;8,6;8000;90;463,8;11,24;15,05;6,09
Guam ;OCEANIA                            ;171019;541;23,2;6,94;21000;99;492;9,09;18,79;4,48
Guatemala ;LATIN AMER. & CARIB    ;12293545;108890;0,37;35,93;4100;70,6;92,1;12,54;29,88;5,2
Guernsey ;WESTERN EUROPE                     ;65409;78;64,1;4,71;20000;;842,4;;8,81;10,01
Guinea ;SUB-SAHARAN AFRICA                 ;9690222;245857;0,13;90,37;2100;35,9;2,7;3,63;41,76;15,48
Guinea-Bissau ;SUB-SAHARAN AFRICA                 ;1442029;36120;0,97;107,17;800;42,4;7,4;10,67;37,22;16,53
Guyana ;LATIN AMER. & CARIB    ;767245;214970;0,21;33,26;4000;98,8;143,5;2,44;18,28;8,28
Haiti ;LATIN AMER. & CARIB    ;8308504;27750;6,38;73,45;1600;52,9;16,9;28,3;36,44;12,17
Honduras ;LATIN AMER. & CARIB    ;7326496;112090;0,73;29,32;2600;76,2;67,5;9,55;28,24;5,28
Hong Kong ;ASIA (EX. NEAR EAST)         ;6940432;1092;67,12;2,97;28800;93,5;546,7;5,05;7,29;6,29
Hungary ;EASTERN EUROPE                     ;9981334;93030;0;8,57;13900;99,4;336,2;50,09;9,72;13,11
Iceland ;WESTERN EUROPE                     ;299388;103000;4,83;3,31;30900;99,9;647,7;0,07;13,64;6,72
India ;ASIA (EX. NEAR EAST)         ;1095351995;3287590;0,21;56,29;2900;59,5;45,4;54,4;22,01;8,18
Indonesia ;ASIA (EX. NEAR EAST)         ;245452739;1919440;2,85;35,6;3200;87,9;52;11,32;20,34;6,25
Iran ;ASIA (EX. NEAR EAST)         ;68688433;1648000;0,15;41,58;7000;79,4;276,4;8,72;17;5,55
Iraq ;NEAR EAST                          ;26783383;437072;0,01;50,25;1500;40,4;38,6;13,15;31,98;5,37
Ireland ;WESTERN EUROPE                     ;4062235;70280;2,06;5,39;29600;98;500,5;15,2;14,45;7,82
Isle of Man ;WESTERN EUROPE                     ;75441;572;27,97;5,93;21000;;676;9;11,05;11,19
Israel ;NEAR EAST                          ;6352117;20770;1,31;7,03;19800;95,4;462,3;16,39;17,97;6,18
Italy ;WESTERN EUROPE                     ;58133509;301230;2,52;5,94;26700;98,6;430,9;27,79;8,72;10,4
Jamaica ;LATIN AMER. & CARIB    ;2758124;10991;9,3;12,36;3900;87,9;124;16,07;20,82;6,52
Japan ;ASIA (EX. NEAR EAST)         ;127463611;377835;7,87;3,26;28200;99;461,2;12,19;9,37;9,16
Jersey ;WESTERN EUROPE                     ;91084;116;60,34;5,24;24800;;811,3;0;9,3;9,28
Jordan ;NEAR EAST                          ;5906760;92300;0,03;17,35;4300;91,3;104,5;2,67;21,25;2,65
Kazakhstan ;C.W. OF IND. STATES ;15233244;2717300;0;29,21;6300;98,4;164,1;7,98;16;9,42
Kenya ;SUB-SAHARAN AFRICA                 ;34707817;582650;0,09;61,47;1000;85,1;8,1;8,08;39,72;14,02
Kiribati ;OCEANIA                            ;105432;811;140,94;48,52;800;;42,7;2,74;30,65;8,26
Korea, North ;ASIA (EX. NEAR EAST)         ;23113019;120540;2,07;24,04;1300;99;42,4;20,76;15,54;7,13
Korea, South ;ASIA (EX. NEAR EAST)         ;48846823;98480;2,45;7,05;17800;97,9;486,1;17,18;10;5,85
Kuwait ;NEAR EAST                          ;2418393;17820;2,8;9,95;19000;83,5;211;0,73;21,94;2,41
Kyrgyzstan ;C.W. OF IND. STATES ;5213898;198500;0;35,64;1600;97;84;7,3;22,8;7,08
Laos ;ASIA (EX. NEAR EAST)         ;6368481;236800;0;85,22;1700;66,4;14,1;3,8;35,49;11,55
Latvia ;BALTICS                            ;2274735;64589;0,82;9,55;10200;99,8;321,4;29,67;9,24;13,66
Lebanon ;NEAR EAST                          ;3874050;10400;2,16;24,52;4800;87,4;255,6;16,62;18,52;6,21
Lesotho ;SUB-SAHARAN AFRICA                 ;2022331;30355;0;84,23;3000;84,8;23,7;10,87;24,75;28,71
Liberia ;SUB-SAHARAN AFRICA                 ;3042004;111370;0,52;128,87;1000;57,5;2,3;3,95;44,77;23,1
Libya ;NORTHERN AFRICA                    ;5900754;1759540;0,1;24,6;6400;82,6;127,1;1,03;26,49;3,48
Liechtenstein ;WESTERN EUROPE                     ;33987;160;0;4,7;25000;100;585,5;25;10,21;7,18
Lithuania ;BALTICS                            ;3585906;65200;0,14;6,89;11400;99,6;223,4;45,22;8,75;10,98
Luxembourg ;WESTERN EUROPE                     ;474413;2586;0;4,81;55100;100;515,4;23,28;11,94;8,41
Macau ;ASIA (EX. NEAR EAST)         ;453125;28;146,43;4,39;19400;94,5;384,9;0;8,48;4,47
Macedonia ;EASTERN EUROPE                     ;2050554;25333;0;10,09;6700;;260;22,26;12,02;8,77
Madagascar ;SUB-SAHARAN AFRICA                 ;18595469;587040;0,82;76,83;800;68,9;3,6;5,07;41,41;11,11
Malawi ;SUB-SAHARAN AFRICA                 ;13013926;118480;0;103,32;600;62,7;7,9;23,38;43,13;19,33
Malaysia ;ASIA (EX. NEAR EAST)         ;24385858;329750;1,42;17,7;9000;88,7;179;5,48;22,86;5,05
Maldives ;ASIA (EX. NEAR EAST)         ;359008;300;214,67;56,52;3900;97,2;90;13,33;34,81;7,06
Mali ;SUB-SAHARAN AFRICA                 ;11716829;1240000;0;116,79;900;46,4;6,4;3,82;49,82;16,89
Malta ;WESTERN EUROPE                     ;400214;316;62,28;3,89;17700;92,8;505;28,13;10,22;8,1
Marshall Islands ;OCEANIA                            ;60422;11854;3,12;29,45;1600;93,7;91,2;16,67;33,05;4,78
Martinique ;LATIN AMER. & CARIB    ;436131;1100;31,82;7,09;14400;97,7;394,4;10,38;13,74;6,48
Mauritania ;SUB-SAHARAN AFRICA                 ;3177388;1030700;0,07;70,89;1800;41,7;12,9;0,48;40,99;12,16
Mauritius ;SUB-SAHARAN AFRICA                 ;1240827;2040;8,68;15,03;11400;85,6;289,3;49,26;15,43;6,86
Mayotte ;SUB-SAHARAN AFRICA                 ;201234;374;49,52;62,4;2600;;49,7;;40,95;7,7
Mexico ;LATIN AMER. & CARIB    ;107449525;1972550;0,47;20,91;9000;92,2;181,6;12,99;20,69;4,74
Micronesia, Fed. St. ;OCEANIA                            ;108004;702;870,66;30,21;2000;89;114,8;5,71;24,68;4,75
Moldova ;C.W. OF IND. STATES ;4466706;33843;0;40,42;1800;99,1;208,1;55,3;15,7;12,64
Monaco ;WESTERN EUROPE                     ;32543;2;205;5,43;27000;99;1035,6;0;9,19;12,91
Mongolia ;ASIA (EX. NEAR EAST)         ;2832224;1564116;0;53,79;1800;97,8;55,1;0,77;21,59;6,95
Montserrat ;LATIN AMER. & CARIB    ;9439;102;39,22;7,35;3400;97;;20;17,59;7,1
Morocco ;NORTHERN AFRICA                    ;33241259;446550;0,41;41,62;4000;51,7;40,4;19,61;21,98;5,58
Mozambique ;SUB-SAHARAN AFRICA                 ;19686505;801590;0,31;130,79;1200;47,8;3,5;5,1;35,18;21,35
Namibia ;SUB-SAHARAN AFRICA                 ;2044147;825418;0,19;48,98;7200;84;62,6;0,99;24,32;18,86
Nauru ;OCEANIA                            ;13287;21;142,86;9,95;5000;;143;0;24,76;6,7
Nepal ;ASIA (EX. NEAR EAST)         ;28287147;147181;0;66,98;1400;45,2;15,9;21,68;30,98;9,31
Netherlands ;WESTERN EUROPE                     ;16491461;41526;1,09;5,04;28600;99;460,8;26,71;10,9;8,68
Netherlands Antilles ;LATIN AMER. & CARIB    ;221736;960;37,92;10,03;11400;96,7;365,3;10;14,78;6,45
New Caledonia ;OCEANIA                            ;219246;19060;11,83;7,72;15000;91;252,2;0,38;18,11;5,69
New Zealand ;OCEANIA                            ;4076140;268680;5,63;5,85;21600;99;441,7;5,6;13,76;7,53
Nicaragua ;LATIN AMER. & CARIB    ;5570129;129494;0,7;29,11;2300;67,5;39,7;15,94;24,51;4,45
Niger ;SUB-SAHARAN AFRICA                 ;12525094;1267000;0;121,69;800;17,6;1,9;3,54;50,73;20,91
Nigeria ;SUB-SAHARAN AFRICA                 ;131859731;923768;0,09;98,8;900;68;9,3;31,29;40,43;16,94
N. Mariana Islands ;OCEANIA                            ;82459;477;310,69;7,11;12500;97;254,7;13,04;19,43;2,29
Norway ;WESTERN EUROPE                     ;4610820;323802;7,77;3,7;37800;100;461,7;2,87;11,46;9,4
Oman ;NEAR EAST                          ;3102229;212460;0,98;19,51;13100;75,8;85,5;0;36,24;3,81
Pakistan ;ASIA (EX. NEAR EAST)         ;165803560;803940;0,13;72,44;2100;45,7;31,8;27,87;29,74;8,23
Palau ;OCEANIA                            ;20579;458;331,66;14,84;9000;92;325,6;8,7;18,03;6,8
Panama ;LATIN AMER. & CARIB    ;3191319;78200;3,18;20,47;6300;92,6;137,9;7,36;21,74;5,36
Papua New Guinea ;OCEANIA                            ;5670544;462840;1,11;51,45;2200;64,6;10,9;0,46;29,36;7,25
Paraguay ;LATIN AMER. & CARIB    ;6506464;406750;0;25,63;4700;94;49,2;7,6;29,1;4,49
Peru ;LATIN AMER. & CARIB    ;28302603;1285220;0,19;31,94;5100;90,9;79,5;2,89;20,48;6,23
Philippines ;ASIA (EX. NEAR EAST)         ;89468677;300000;12,1;23,51;4600;92,6;38,4;18,95;24,89;5,41
Poland ;EASTERN EUROPE                     ;38536869;312685;0,16;8,51;11100;99,8;306,3;45,91;9,85;9,89
Portugal ;WESTERN EUROPE                     ;10605870;92391;1,94;5,05;18000;93,3;399,2;21,75;10,72;10,5
Puerto Rico ;LATIN AMER. & CARIB    ;3927188;13790;3,63;8,24;16800;94,1;283,1;3,95;12,77;7,65
Qatar ;NEAR EAST                          ;885359;11437;4,92;18,61;21500;82,5;232;1,64;15,56;4,72
Reunion ;SUB-SAHARAN AFRICA                 ;787584;2517;8,22;7,78;5800;88,9;380,9;13,6;18,9;5,49
Romania ;EASTERN EUROPE                     ;22303552;237500;0,09;26,43;7000;98,4;196,9;40,82;10,7;11,77
Russia ;C.W. OF IND. STATES ;142893540;17075200;0,22;15,39;8900;99,6;280,6;7,33;9,95;14,65
Rwanda ;SUB-SAHARAN AFRICA                 ;8648248;26338;0;91,23;1300;70,4;2,7;40,54;40,37;16,09
Saint Helena ;SUB-SAHARAN AFRICA                 ;7502;413;14,53;19;2500;97;293,3;12,9;12,13;6,53
Saint Kitts & Nevis ;LATIN AMER. & CARIB    ;39129;261;51,72;14,49;8800;97;638,9;19,44;18,02;8,33
Saint Lucia ;LATIN AMER. & CARIB    ;168458;616;25,65;13,53;5400;67;303,3;6,56;19,68;5,08
St Pierre & Miquelon ;NORTHERN AMERICA                   ;7026;242;49,59;7,54;6900;99;683,2;13,04;13,52;6,83
Saint Vincent and the Grenadines ;LATIN AMER. & CARIB    ;117848;389;21,59;14,78;2900;96;190,9;17,95;16,18;5,98
Samoa ;OCEANIA                            ;176908;2944;13,69;27,71;5600;99,7;75,2;21,2;16,43;6,62
San Marino ;WESTERN EUROPE                     ;29251;61;0;5,73;34600;96;704,3;16,67;10,02;8,17
Sao Tome & Principe ;SUB-SAHARAN AFRICA                 ;193413;1001;20,88;43,11;1200;79,3;36,2;6,25;40,25;6,47
Saudi Arabia ;NEAR EAST                          ;27019731;1960582;0,13;13,24;11800;78,8;140,6;1,67;29,34;2,58
Senegal ;SUB-SAHARAN AFRICA                 ;11987121;196190;0,27;55,51;1600;40,2;22,2;12,78;32,78;9,42
Serbia ;EASTERN EUROPE                     ;9396411;88361;0;12,89;2200;93;285,8;33,35;;
Seychelles ;SUB-SAHARAN AFRICA                 ;81541;455;107,91;15,53;7800;58;262,4;2,22;16,03;6,29
Sierra Leone ;SUB-SAHARAN AFRICA                 ;6005250;71740;0,56;143,64;500;31,4;4;6,98;45,76;23,03
Singapore ;ASIA (EX. NEAR EAST)         ;4492150;693;27,85;2,29;23700;92,5;411,4;1,64;9,34;4,28
Slovakia ;EASTERN EUROPE                     ;5439448;48845;0;7,41;13300;;220,1;30,16;10,65;9,45
Slovenia ;EASTERN EUROPE                     ;2010347;20273;0,23;4,45;19000;99,7;406,1;8,6;8,98;10,31
Solomon Islands ;OCEANIA                            ;552438;28450;18,67;21,29;1700;;13,4;0,64;30,01;3,92
Somalia ;SUB-SAHARAN AFRICA                 ;8863338;637657;0,47;116,7;500;37,8;11,3;1,67;45,13;16,63
South Africa ;SUB-SAHARAN AFRICA                 ;44187637;1219912;0,23;61,81;10700;86,4;107;12,08;18,2;22
Spain ;WESTERN EUROPE                     ;40397842;504782;0,98;4,42;22000;97,9;453,5;26,07;10,06;9,72
Sri Lanka ;ASIA (EX. NEAR EAST)         ;20222240;65610;2,04;14,35;3700;92,3;61,5;13,86;15,51;6,52
Sudan ;SUB-SAHARAN AFRICA                 ;41236378;2505810;0,03;62,5;1900;61,1;16,3;6,83;34,53;8,97
Suriname ;LATIN AMER. & CARIB    ;439117;163270;0,24;23,57;4000;93;184,7;0,37;18,02;7,27
Swaziland ;SUB-SAHARAN AFRICA                 ;1136334;17363;0;69,27;4900;81,6;30,8;10,35;27,41;29,74
Sweden ;WESTERN EUROPE                     ;9016596;449964;0,72;2,77;26800;99;715;6,54;10,27;10,31
Switzerland ;WESTERN EUROPE                     ;7523934;41290;0;4,39;32700;99;680,9;10,42;9,71;8,49
Syria ;NEAR EAST                          ;18881361;185180;0,1;29,53;3300;76,9;153,8;25,22;27,76;4,81
Taiwan ;ASIA (EX. NEAR EAST)         ;23036087;35980;4,35;6,4;23400;96,1;591;24;12,56;6,48
Tajikistan ;C.W. OF IND. STATES ;7320815;143100;0;110,76;1000;99,4;33,5;6,61;32,65;8,25
Tanzania ;SUB-SAHARAN AFRICA                 ;37445392;945087;0,15;98,54;600;78,2;4;4,52;37,71;16,39
Thailand ;ASIA (EX. NEAR EAST)         ;64631595;514000;0,63;20,48;7400;92,6;108,9;29,36;13,87;7,04
Togo ;SUB-SAHARAN AFRICA                 ;5548702;56785;0,1;66,61;1500;60,9;10,6;46,15;37,01;9,83
Tonga ;OCEANIA                            ;114689;748;56,02;12,62;2200;98,5;97,7;23,61;25,37;5,28
Trinidad & Tobago ;LATIN AMER. & CARIB    ;1065842;5128;7,06;24,31;9500;98,6;303,5;14,62;12,9;10,57
Tunisia ;NORTHERN AFRICA                    ;10175014;163610;0,7;24,77;6900;74,2;123,6;17,86;15,52;5,13
Turkey ;NEAR EAST                          ;70413958;780580;0,92;41,04;6700;86,5;269,5;30,93;16,62;5,97
Turkmenistan ;C.W. OF IND. STATES ;5042920;488100;0;73,08;5800;98;74,6;3,72;27,61;8,6
Turks & Caicos Is ;LATIN AMER. & CARIB    ;21152;430;90,47;15,67;9600;98;269,5;2,33;21,84;4,21
Tuvalu ;OCEANIA                            ;11810;26;92,31;20,03;1100;;59,3;0;22,18;7,11
Uganda ;SUB-SAHARAN AFRICA                 ;28195754;236040;0;67,83;1400;69,9;3,6;25,88;47,35;12,24
Ukraine ;C.W. OF IND. STATES ;46710816;603700;0,46;20,34;5400;99,7;259,9;56,21;8,82;14,39
United Arab Emirates ;NEAR EAST                          ;2602713;82880;1,59;14,51;23200;77,9;475,3;0,6;18,96;4,4
United Kingdom ;WESTERN EUROPE                     ;60609153;244820;5,08;5,16;27700;99;543,5;23,46;10,71;10,13
United States ;NORTHERN AMERICA                   ;298444215;9631420;0,21;6,5;37800;97;898;19,13;14,14;8,26
Uruguay ;LATIN AMER. & CARIB    ;3431932;176220;0,37;11,95;12800;98;291,4;7,43;13,91;9,05
Uzbekistan ;C.W. OF IND. STATES ;27307134;447400;0;71,1;1700;99,3;62,9;10,83;26,36;7,84
Vanuatu ;OCEANIA                            ;208869;12200;20,72;55,16;2900;53;32,6;2,46;22,72;7,82
Venezuela ;LATIN AMER. & CARIB    ;25730435;912050;0,31;22,2;4800;93,4;140,1;2,95;18,71;4,92
Vietnam ;ASIA (EX. NEAR EAST)         ;84402966;329560;1,05;25,95;2500;90,3;187,7;19,97;16,86;6,22
Virgin Islands ;LATIN AMER. & CARIB    ;108605;1910;9,84;8,03;17200;;652,8;11,76;13,96;6,43
Wallis and Futuna ;OCEANIA                            ;16025;274;47,08;;3700;50;118,6;5;;
West Bank ;NEAR EAST                          ;2460492;5860;0;19,62;800;;145,2;16,9;31,67;3,92
Western Sahara ;NORTHERN AFRICA                    ;273008;266000;0,42;;;;;0,02;;
Yemen ;NEAR EAST                          ;21456188;527970;0,36;61,5;800;50,2;37,2;2,78;42,89;8,3
Zambia ;SUB-SAHARAN AFRICA                 ;11502010;752614;0;88,29;800;80,6;8,2;7,08;41;19,93
Zimbabwe ;SUB-SAHARAN AFRICA                 ;12236805;390580;0;67,69;1900;90,7;26,8;8,32;28,01;21,84
