water_level,precipitation,temperature,humidity,visibility,wind,weather,pressure,fire,wl_change,temp_change,pressure_change
"601,0","0,0","19,7","48,0","20,0","2,0","2,0","1012,1","4,0","-2,0","4,0","-0,4"
"226,0","0,0","21,2","57,0","20,0","5,0","0,0","1009,2","4,0","-2,0","4,3","-1,1"
"46,0","0,0","24,5","50,0","10,0","5,0","1,0","1010,0","5,0","-2,0","8,4","-0,9"
"80,0","0,0","24,0","46,0","20,0","5,0","0,0","1012,5","4,0","-5,0","6,4","-0,8"
"508,0","0,0","20,2","38,0","10,0","1,0","0,0","1011,6","4,0","-11,0","3,7","-0,3"
"380,0","0,0","20,6","44,0","100,0","2,0","0,0","1006,7","4,0","-15,0","3,5","-0,2"
"122,0","0,0","16,8","90,0","10,0","2,0","3,0","1002,9","4,0","-1,0","0,0","-1,3"
"516,0","0,0","20,1","75,0","20,0","4,0","3,0","1011,0","4,0","-2,0","2,6","-1,3"
"122,0","0,0","23,1","55,0","20,0","4,0","0,0","1009,4","4,0","0,0","7,0","-1,6"
"127,0","0,0","19,7","58,0","10,0","4,0","1,0","1005,0","4,0","-2,0","5,1","-1,1"
"166,0","0,0","20,9","52,0","20,0","2,0","0,0","1009,5","4,0","-15,0","2,6","0,2"
"600,0","0,1","20,8","55,0","20,0","1,0","0,0","1009,4","4,0","-1,0","2,6","0,0"
"43,0","2,0","22,0","48,0","10,0","2,0","0,0","1012,1","5,0","-3,0","4,8","0,0"
"76,0","0,1","22,0","58,0","20,0","3,0","0,0","1012,4","4,0","-4,0","3,9","-0,1"
"497,0","0,0","22,1","53,0","10,0","3,0","0,0","1008,0","4,0","-11,0","3,6","-0,2"
"368,0","0,0","18,4","80,0","100,0","1,0","1,0","1003,3","4,0","-12,0","4,6","-0,1"
"121,0","0,0","19,8","55,0","20,0","1,0","0,0","1014,4","4,0","-1,0","5,1","-0,2"
"152,0","0,0","14,2","93,0","4,0","1,0","6,0","1009,9","4,0","-14,0","3,6","0,3"
"595,0","0,0","16,6","77,0","20,0","1,0","2,0","1009,3","4,0","-5,0","5,0","0,0"
"41,0","0,1","15,3","86,0","10,0","1,0","1,0","1006,9","5,0","-2,0","2,6","-1,0"
"71,0","0,0","18,6","69,0","20,0","3,0","1,0","1008,6","4,0","-5,0","6,9","-0,3"
"492,0","0,0","17,3","70,0","4,0","1,0","6,0","1008,4","4,0","-5,0","12,1","0,3"
"358,0","0,0","12,3","99,0","0,0","1,0","5,0","1003,5","4,0","-10,0","4,2","0,2"
"120,0","0,0","16,7","66,0","20,0","2,0","2,0","1010,2","5,0","-1,0","12,1","-0,2"
"127,0","0,0","18,3","80,0","20,0","4,0","0,0","1004,5","4,0","-25,0","2,7","-0,1"
"593,0","0,0","17,6","78,0","20,0","3,0","2,0","1004,6","4,0","-2,0","4,1","0,2"
"594,0","0,0","18,0","68,0","20,0","2,0","2,0","1003,4","4,0","-3,0","10,7","-0,2"
"39,0","0,0","21,1","74,0","10,0","1,0","2,0","1001,5","5,0","-2,0","8,2","0,0"
"68,0","0,5","21,6","66,0","20,0","2,0","0,0","1003,1","4,0","-3,0","8,7","-0,4"
"484,0","0,0","18,0","67,0","4,0","1,0","6,0","1004,2","4,0","-8,0","13,1","0,0"
"120,0","0,0","21,0","73,0","20,0","2,0","0,0","1002,3","5,0","0,0","6,7","-0,2"
"45,0","0,0","17,4","81,0","20,0","2,0","0,0","999,8","4,0","-52,0","-0,9","0,3"
"592,0","0,0","15,2","81,0","20,0","1,0","0,0","999,4","4,0","-1,0","-0,8","-0,1"
"593,0","0,0","9,3","88,0","20,0","1,0","0,0","998,5","4,0","-1,0","-1,6","0,2"
"37,0","0,0","11,5","95,0","10,0","1,0","0,0","996,1","5,0","-2,0","-3,7","-0,6"
"64,0","0,5","12,1","96,0","4,0","1,0","5,0","998,0","4,0","-4,0","-2,9","-0,3"
"478,0","0,0","6,3","90,0","4,0","1,0","6,0","999,1","4,0","-6,0","-1,4","0,3"
"173,0","0,0","6,0","97,0","100,0","1,0","0,0","907,6","4,0","-1,0","-0,3","1,1"
"120,0","0,0","15,2","94,0","20,0","1,0","8,0","998,3","5,0","0,0","1,0","-0,1"
"323,0","0,1","16,7","88,0","20,0","3,0","2,0","996,8","4,0","-7,0","-0,8","-0,1"
"40,0","0,1","19,4","64,0","20,0","6,0","0,0","993,8","4,0","-5,0","2,3","-0,5"
"593,0","0,0","19,4","63,0","20,0","3,0","0,0","993,6","4,0","1,0","2,9","-0,3"
"597,0","0,0","20,0","59,0","20,0","2,0","1,0","992,6","4,0","4,0","7,5","0,1"
"36,0","0,3","15,8","96,0","0,0","2,0","5,0","993,2","5,0","-1,0","0,7","-0,2"
"61,0","0,0","16,6","96,0","4,0","1,0","6,0","993,9","4,0","-3,0","1,3","-1,1"
"473,0","0,0","23,1","46,0","10,0","2,0","0,0","993,5","4,0","-5,0","7,3","0,0"
"353,0","0,0","21,3","46,0","100,0","4,0","0,0","989,9","4,0","-1,0","5,6","0,3"
"447,0","0,0","20,0","56,0","10,0","1,0","1,0","993,1","4,0","0,0","12,5","-0,3"
"313,0","0,0","17,3","84,0","20,0","1,0","1,0","993,3","4,0","-10,0","2,7","-0,5"
"33,0","0,8","19,9","75,0","20,0","3,0","0,0","988,8","4,0","-7,0","0,3","-1,0"
"592,0","0,3","19,3","71,0","20,0","2,0","3,0","989,1","4,0","-1,0","0,2","-0,4"
"592,0","2,0","17,3","84,0","20,0","4,0","3,0","988,0","4,0","-5,0","-0,2","-0,3"
"59,0","0,0","17,8","59,0","20,0","4,0","0,0","990,9","4,0","-2,0","6,2","-0,7"
"469,0","2,0","17,5","79,0","10,0","4,0","3,0","988,8","4,0","-4,0","1,6","0,1"
"354,0","1,0","19,4","63,0","100,0","6,0","1,0","984,8","5,0","1,0","1,4","-0,2"
"444,0","0,7","19,5","74,0","4,0","3,0","3,0","986,8","4,0","-3,0","0,7","-1,6"
"172,0","0,0","17,4","51,0","100,0","1,0","0,0","901,4","4,0","-1,0","7,4","-1,0"
"305,0","0,7","19,3","83,0","20,0","2,0","1,0","987,9","4,0","-8,0","3,8","-1,2"
"67,0","0,8","21,7","56,0","20,0","4,0","0,0","988,6","4,0","-12,0","3,2","-1,0"
"591,0","0,0","21,8","47,0","20,0","6,0","0,0","988,6","4,0","-1,0","3,4","-0,7"
"57,0","0,1","12,7","71,0","20,0","8,0","4,0","990,1","4,0","-2,0","0,9","1,0"
"349,0","0,0","24,7","33,0","100,0","5,0","0,0","983,9","5,0","-5,0","5,8","-1,6"
"171,0","0,0","22,4","45,0","100,0","2,0","0,0","899,2","4,0","-1,0","7,6","-1,9"
"66,0","0,0","14,4","59,0","20,0","1,0","0,0","1002,5","4,0","-1,0","3,0","1,8"
"592,0","0,0","15,0","54,0","20,0","1,0","0,0","1003,0","4,0","1,0","3,4","1,6"
"55,0","0,1","14,5","53,0","20,0","4,0","1,0","1006,9","4,0","-2,0","5,6","0,9"
"341,0","0,7","13,8","62,0","100,0","4,0","1,0","998,3","5,0","-8,0","3,4","1,9"
"170,0","0,0","11,1","77,0","100,0","5,0","8,0","902,0","4,0","-1,0","-5,2","2,3"
"42,0","0,0","13,1","72,0","20,0","3,0","0,0","1009,0","4,0","-9,0","-0,6","0,2"
"593,0","0,0","8,6","86,0","20,0","1,0","2,0","1008,4","4,0","2,0","-4,4","0,2"
"50,0","0,0","7,6","97,0","4,0","1,0","5,0","1006,3","4,0","-2,0","-1,8","0,0"
"265,0","0,0","6,4","85,0","10,0","2,0","2,0","996,6","4,0","-2,0","-1,6","0,0"
"143,0","0,0","2,9","96,0","0,0","1,0","5,0","988,1","4,0","18,0","-0,7","0,1"
"347,0","0,0","2,0","95,0","20,0","1,0","0,0","1008,2","4,0","-1,0","0,2","0,1"
"115,0","1,0","9,8","93,0","100,0","3,0","1,0","1010,3","4,0","0,0","-0,7","-0,7"
"38,0","0,0","16,3","60,0","20,0","1,0","2,0","1007,4","4,0","-4,0","6,8","0,2"
"48,0","0,0","16,3","69,0","20,0","2,0","0,0","1007,5","4,0","-2,0","7,5","0,3"
"263,0","0,0","12,4","57,0","10,0","4,0","2,0","992,9","4,0","-2,0","5,3","0,0"
"333,0","0,0","13,7","68,0","100,0","2,0","2,0","1000,0","5,0","-2,0","6,9","0,0"
"132,0","0,0","13,0","54,0","20,0","2,0","2,0","985,0","4,0","-11,0","8,2","-0,1"
"57,0","0,0","12,2","69,0","100,0","1,0","0,0","1007,6","4,0","0,0","9,9","0,4"
"113,0","0,0","16,7","82,0","100,0","1,0","0,0","1011,1","4,0","-2,0","7,6","0,3"
"120,0","0,0","14,4","60,0","10,0","2,0","0,0","1008,8","4,0","1,0","10,9","0,1"
"147,0","0,0","14,1","59,0","10,0","2,0","2,0","998,4","4,0","-4,0","7,4","0,0"
"585,0","0,0","22,3","35,0","20,0","2,0","2,0","1001,7","5,0","-6,0","2,5","-0,8"
"594,0","0,0","20,0","47,0","20,0","2,0","2,0","1001,1","4,0","1,0","1,8","-0,7"
"597,0","0,0","21,2","34,0","20,0","4,0","2,0","999,5","4,0","2,0","2,2","-0,6"
"47,0","0,0","22,6","33,0","20,0","6,0","0,0","1001,4","4,0","-1,0","2,7","-1,8"
"454,0","0,0","23,6","25,0","10,0","4,0","2,0","998,7","4,0","-1,0","2,4","-1,0"
"261,0","0,0","22,8","42,0","20,0","2,0","2,0","988,0","4,0","-2,0","3,8","-0,5"
"333,0","0,0","22,9","38,0","100,0","3,0","2,0","994,0","5,0","0,0","3,8","-0,7"
"441,0","0,0","22,7","35,0","10,0","3,0","2,0","997,6","4,0","-1,0","2,7","-0,6"
"127,0","0,0","22,4","35,0","20,0","2,0","2,0","979,1","4,0","-5,0","2,6","-0,6"
"56,0","0,0","19,5","32,0","100,0","4,0","2,0","1003,6","4,0","-1,0","0,8","-0,9"
"346,0","0,0","19,5","31,0","20,0","7,0","4,0","1003,1","4,0","-1,0","1,1","-1,0"
"234,0","0,0","23,7","52,0","20,0","2,0","0,0","1012,1","4,0","-1,0","2,9","-0,5"
"112,0","0,0","23,4","43,0","100,0","4,0","1,0","1011,2","4,0","-1,0","0,8","-0,9"
"120,0","0,0","19,9","35,0","10,0","3,0","2,0","1005,8","4,0","0,0","0,6","-1,1"
"142,0","0,0","22,5","39,0","10,0","2,0","2,0","992,5","4,0","-5,0","2,8","-0,4"
"6,0","0,0","8,8","85,0","20,0","1,0","2,0","1000,6","5,0","0,0","-1,5","0,0"
"70,0","0,0","2,7","98,0","0,0","1,0","5,0","999,1","4,0","-1,0","-2,1","0,0"
"592,0","0,0","9,4","86,0","20,0","2,0","2,0","999,7","5,0","-2,0","-0,9","-0,5"
"593,0","0,0","5,9","89,0","20,0","1,0","0,0","998,7","4,0","-4,0","-2,5","-0,1"
"229,0","0,0","6,8","86,0","20,0","2,0","2,0","999,4","4,0","0,0","-1,2","-0,5"
"28,0","0,0","8,1","85,0","10,0","2,0","0,0","998,7","4,0","-1,0","-1,2","-0,7"
"46,0","0,0","8,5","87,0","20,0","2,0","2,0","999,3","5,0","-1,0","-1,7","-0,5"
"259,0","0,0","9,0","92,0","10,0","1,0","2,0","988,4","4,0","-2,0","-0,7","0,7"
"118,0","0,0","5,8","96,0","100,0","1,0","2,0","998,5","4,0","5,0","-0,9","0,0"
"54,0","0,0","5,9","91,0","100,0","1,0","2,0","1002,3","4,0","-2,0","-1,3","0,2"
"345,0","0,0","7,5","83,0","20,0","3,0","2,0","1001,5","4,0","-1,0","-0,6","-0,1"
"166,0","0,0","2,7","93,0","100,0","1,0","2,0","907,0","4,0","-1,0","-1,6","0,7"
"233,0","0,0","7,2","95,0","4,0","1,0","6,0","1011,9","4,0","-1,0","-1,3","0,0"
"111,0","0,0","9,5","83,0","100,0","2,0","2,0","1008,7","4,0","-1,0","-1,9","-0,7"
"90,0","0,0","10,6","71,0","100,0","3,0","2,0","1004,2","4,0","0,0","-2,5","-0,9"
"120,0","0,0","3,9","96,0","10,0","1,0","2,0","1005,0","4,0","0,0","0,8","0,0"
"593,0","0,0","15,6","81,0","20,0","3,0","0,0","997,9","5,0","3,0","1,8","0,4"
"70,0","0,0","12,9","87,0","20,0","1,0","1,0","996,7","4,0","0,0","1,2","0,6"
"592,0","0,0","14,8","83,0","20,0","2,0","1,0","997,7","5,0","0,0","0,8","0,5"
"44,0","0,0","6,8","98,0","4,0","3,0","5,0","999,6","5,0","-2,0","-3,0","0,5"
"451,0","0,0","9,8","92,0","4,0","1,0","6,0","997,0","4,0","-2,0","-2,9","0,2"
"256,0","0,0","14,9","73,0","10,0","1,0","0,0","987,7","4,0","-3,0","1,0","0,9"
"331,0","0,1","16,4","77,0","100,0","1,0","1,0","992,4","5,0","0,0","-2,5","0,2"
"440,0","1,0","11,4","95,0","4,0","1,0","3,0","996,2","4,0","0,0","1,8","0,7"
"37,0","0,0","5,8","97,0","0,0","1,0","5,0","979,8","4,0","-2,0","-2,0","0,1"
"119,0","0,0","7,3","95,0","0,0","1,0","5,0","978,3","4,0","-4,0","-2,0","0,3"
"122,0","0,0","9,0","96,0","20,0","1,0","1,0","996,5","4,0","4,0","1,4","0,1"
"116,0","0,0","5,7","93,0","10,0","1,0","6,0","996,4","4,0","-27,0","-0,3","0,1"
"52,0","0,0","5,7","96,0","4,0","1,0","6,0","997,8","4,0","-2,0","-1,5","0,2"
"344,0","0,0","2,3","96,0","0,0","1,0","5,0","997,7","4,0","-1,0","-0,1","0,0"
"111,0","1,0","11,6","90,0","100,0","1,0","8,0","1002,5","4,0","0,0","-1,2","-0,1"
"90,0","0,8","9,1","95,0","20,0","1,0","5,0","1000,7","4,0","0,0","-3,3","0,3"
"108,0","0,0","7,6","100,0","20,0","1,0","2,0","999,1","4,0","-1,0","-5,2","0,5"
"122,0","0,0","9,2","92,0","20,0","1,0","0,0","1000,0","4,0","0,0","-0,5","0,2"
"152,0","0,0","9,4","88,0","20,0","3,0","0,0","1000,3","4,0","-1,0","-1,7","-0,2"
"340,0","0,0","6,4","95,0","20,0","1,0","0,0","1004,2","4,0","-1,0","-0,3","-0,3"
"138,0","0,1","15,8","81,0","10,0","1,0","3,0","991,1","4,0","-2,0","1,6","0,7"
"-72,0","0,0","10,0","87,0","20,0","1,0","0,0","996,7","4,0","0,0","-0,8","0,0"
"38,0","0,0","20,8","63,0","20,0","1,0","2,0","997,7","5,0","-2,0","4,1","-0,8"
"70,0","0,0","26,2","35,0","20,0","1,0","0,0","996,0","4,0","0,0","10,0","-1,1"
"592,0","0,0","23,2","58,0","20,0","1,0","0,0","997,4","5,0","0,0","6,4","-0,5"
"594,0","0,0","25,1","35,0","20,0","2,0","1,0","996,0","4,0","1,0","8,4","-1,1"
"227,0","0,0","21,7","51,0","20,0","3,0","1,0","994,6","4,0","-1,0","5,2","-0,8"
"27,0","0,0","18,9","61,0","4,0","3,0","3,0","993,4","4,0","-1,0","3,5","-0,2"
"43,0","0,0","24,4","40,0","20,0","7,0","4,0","994,6","5,0","-1,0","7,9","-1,1"
"451,0","0,0","25,9","32,0","20,0","3,0","0,0","996,5","4,0","0,0","7,5","-1,1"
"253,0","0,0","22,8","50,0","10,0","2,0","0,0","987,4","4,0","-3,0","3,7","-0,3"
"334,0","0,0","25,5","35,0","100,0","1,0","0,0","992,1","5,0","3,0","6,4","-0,7"
"35,0","0,0","18,3","73,0","20,0","1,0","1,0","978,4","4,0","-2,0","0,8","-0,6"
"117,0","0,6","20,7","62,0","10,0","1,0","0,0","976,8","4,0","-2,0","3,4","-0,3"
"111,0","0,0","18,3","80,0","10,0","1,0","0,0","995,1","4,0","-11,0","5,1","-0,2"
"115,0","0,0","16,0","87,0","10,0","1,0","1,0","995,2","4,0","-1,0","2,4","0,2"
"51,0","2,0","15,9","89,0","10,0","2,0","3,0","995,5","4,0","-1,0","1,4","0,2"
"344,0","0,0","22,0","57,0","20,0","1,0","0,0","995,1","4,0","0,0","8,7","-0,5"
"232,0","0,4","21,4","51,0","20,0","3,0","0,0","999,3","4,0","-1,0","7,5","-1,1"
"176,0","0,0","22,4","41,0","10,0","3,0","0,0","998,9","4,0","0,0","8,6","-1,6"
"110,0","0,0","16,6","71,0","100,0","4,0","3,0","995,9","4,0","-1,0","2,2","-1,5"
"90,0","0,0","18,6","63,0","100,0","3,0","3,0","992,7","4,0","0,0","4,5","-1,6"
"106,0","0,0","19,2","61,0","20,0","3,0","4,0","994,2","4,0","-2,0","6,1","-0,5"
"122,0","0,0","20,5","56,0","20,0","2,0","1,0","996,0","4,0","0,0","4,1","-1,3"
"184,0","0,7","21,7","44,0","20,0","2,0","0,0","997,4","4,0","-8,0","4,6","-0,5"
"121,0","0,0","22,5","49,0","10,0","3,0","0,0","995,3","4,0","0,0","6,5","-0,6"
"338,0","0,0","20,1","67,0","20,0","1,0","0,0","1000,3","4,0","-2,0","8,1","-0,4"
"-157,0","0,0","21,9","49,0","20,0","1,0","2,0","995,1","4,0","3,0","8,1","-0,4"
"39,0","0,0","19,9","72,0","20,0","2,0","0,0","995,7","5,0","1,0","-2,0","-0,1"
"68,0","0,0","17,9","68,0","20,0","1,0","2,0","994,4","4,0","-2,0","-8,1","0,0"
"592,0","0,0","21,0","50,0","20,0","3,0","2,0","995,1","5,0","0,0","-3,5","0,2"
"593,0","0,0","21,0","49,0","20,0","2,0","0,0","993,4","4,0","-1,0","-4,5","-0,1"
"227,0","0,0","17,7","63,0","20,0","3,0","0,0","991,5","4,0","0,0","-6,1","-0,4"
"27,0","0,0","17,7","76,0","4,0","4,0","3,0","989,9","4,0","0,0","-5,6","1,0"
